Ord;Odds
Grønland;1.03
Færøerne;1.03
Folk/-et;1.05
Dronning Mary;1.08
Glæde/-r;1.1
Udsendte;1.1
Krig/-en;1.1
Verden;1.1
Forsvaret;1.15
2025;1.15
Ukraine;1.15
Beredskabet;1.15
Kronprinsen;1.15
Børn;1.15
Politi/-et;1.2
Royal Run;1.2
Nytårsaften;1.2
Fred/-en;1.25
Håb/-et;1.25
Unge;1.25
Særlig/-t;1.25
Europa;1.25
2026;1.25
Mor;1.25
Prins Joachim;1.25
Sydslesvig;1.25
Christian;1.3
Dronning Margrethe;1.3
Forpligtet;1.5
Forbundne;1.5
Ungdommen;1.5
Taknemmelig/-hed;1.5
Stolt/-e;1.5
Soldater;1.5
Klima/-et;1.5
Nytårshilsen;1.5
Mindretal;1.5
Prinsesse Marie;1.6
Sommer/-en;1.75
Nærmeste;1.75
Frihed/-en;1.75
Arbejde/-t;1.75
Mellemøsten;1.75
Traditioner;1.75
Generationer;2.0
Ældre;2.0
EU;2.0
Dagligdag/-en;2.0
Opmærksomhed/-en;2.0
Nytårsønsker;2.0
Naturen/-s;2.0
Kærlighed;2.0
Fællesskab/-et;2.0
Uro/-en;2.0
Forventning/-er;2.0
Befolkning/-en;2.0
Ansvar;2.0
Israel;2.0
Omsorg;2.0
Sikkerhed;2.0
Frivillig/-e;2.0
Isabella;2.5
Tillid/-en;2.5
Rigsfællesskab/-et;2.5
Opgaver;2.5
Atleter;2.5
Medmennesker;2.5
Uro;2.5
Udsatte;2.5
Klimaforandringer/-ne;2.5
Nordatlanten;2.5
Jul/-en;2.5
Forskellige;2.5
Muligheder;2.5
Kultur/-en;3.0
Livgarden;3.0
Medfølelse;3.0
Student/-er;3.0
Terror/-en;3.0
Velvilje;3.0
Jord/-en;3.0
Global/-e;3.0
Værnepligt;3.0
Grænse/-n;3.0
Konflikt/-en;3.0
Letland;3.0
Allierede;3.0
Vincent;3.0
Fødselsdag/-e;3.0
Sundhedspersonale/-t;3.0
Flygtninge;3.0
Ensom/-hed;3.0
Civil/-e;3.0
Skærm/-en;3.0
København;3.0
NATO;3.0
Demokrati/-et;3.0
Alvor/-en;3.0
Teknologi/-en;3.0
Samhørighed/-en;3.0
Sociale Medier;3.0
Frankrig;3.0
Hjerte/-t;3.5
Respekt;3.5
Kongeskibet;3.5
Josephine;3.5
Samarbejde;4.0
Krise/-n;4.0
Gardehusarregimentet;4.0
Vejr/-et;4.0
Tilbageblik;4.0
Skole/-r;4.0
Pårørende;4.0
Nordjylland;4.0
Mistrivsel;4.0
Mistrives;4.0
Minder;4.0
Løjtnantuddannelse;4.0
Landsstævne/-t;4.0
AI;4.0
Tryghed/-en;4.0
Gæstfrihed;4.0
Fredsaftale;4.0
Frivillighed;4.0
Online;4.0
Medmenneskeligheden;4.0
Vinder;4.0
Kongehuset;4.0
Kunstig intelligens;4.0
Innovation;4.0
Gensyn/-et;4.0
Hjemmeberedskab;4.0
Japan;4.0
Miljø/-et;4.0
Energi;4.0
Forskelligheder;4.0
Fejle;4.0
Idræt;5.0
Institution/-er;5.0
Katastrofe/-r;5.0
Landshold/-et;5.0
Miste/-t;5.0
Mærkedag;5.0
Nærvær;5.0
Palæstina;5.0
Positiv/-e;5.0
Sportsudøvere;5.0
Sorg;5.0
Stunder;5.0
Time/-r;5.0
Trivsel;5.0
Håndbold;5.0
Udvikle/-t;5.0
Historie/-r;5.0
Sygdom;5.0
Rådhusklokkerne;5.0
USA;5.0
Guld;5.0
Global/-e opvarmning;5.0
Hensyn/-et;5.0
Atter;5.0
Afsavn;5.0
Amalienborg;5.0
Fyrværkeri;5.0
Folkesundhed/-en;5.0
Mobning;5.0
Jøder/jødisk;5.0
Mangfoldighed;5.0
Bevægende;5.0
Dannebrog;5.0
Ekstrem/-e;5.0
Festlighed/-er;5.0
Folkefest;5.0
Formandskab/-et i EU;5.0
Gaza;5.0
Økonomi/-en;5.0
Optimisme/-n;6.0
Skelsættende;6.0
Succes;6.0
Sømænd;6.0
Tablet/-s;6.0
Verdenssamfundet;6.0
Paris;6.0
Arktis;6.0
Foreningslivet;6.0
Stolthed;6.0
Nytårsfest/-en;6.0
Integration;6.0
Drone/-r;6.0
Værdig;6.0
Klode/-n;6.0
Klimakrise/-n;6.0
Herrelandsholdet;6.0
ChatGPT;6.0
Juleaften;6.0
Cyberangreb;6.0
Konsekvenser;6.0
Tronen;6.0
Teenager/-e;6.0
Beskytte/-r;6.0
Bæredygtighed;6.0
Eventyr/-et;6.0
Grøn/-ne omstilling;6.0
Afkald;6.0
Populær/-e;8.0
Lighed/-er;8.0
Myndig;8.0
Nytårsforsæt;8.0
Nytårskur;8.0
Rekord;8.0
Sverige;8.0
Tolerance;8.0
Økonomiske;8.0
Gidsler;8.0
Norge;8.0
Kvindelandsholdet;8.0
Trusler;8.0
Sygeplejersker/-ne;8.0
Krisetid/-er;8.0
Nabo/-er;8.0
Identitet;8.0
Inflation/-en;8.0
Zelensky;8.0
Folkeskole/-n;8.0
Ligestilling/-en;8.0
Asyl;8.0
Afstand;8.0
Erhverv;8.0
Menneskerettigheder;8.0
Fattigdom;8.0
Flag/-et;8.0
Fodbold;8.0
Hospital/-er;8.0
Hygge/-r;8.0
Erhvervslivet;8.0
Nordsøen;10.0
Søfolk;10.0
Oversvømmelse/-r;10.0
Penge/-ne;10.0
Prisstigning/-er;10.0
Samfundssind;10.0
Skolelærer/-e;10.0
Smartphone/-s;10.0
Statsministeren;10.0
Sønderjylland;10.0
Klimaansvar;10.0
Verdensmesterskaber/-ne;10.0
Vindmøller/-ne;10.0
Vækst/-en;10.0
Bornholm;10.0
Cybersikkerhed;10.0
Havmiljø/-et;10.0
Selvbestemmelse;10.0
Tyskland;10.0
Ærø;10.0
Nedbør;10.0
Uanset hvad;10.0
Mærkeår;10.0
Preppe;10.0
Likes;10.0
Geopolitiske;10.0
Beskyttelsesrum;10.0
Julehjælp;10.0
G20;10.0
Novo Nordisk;10.0
Hybridkrig;10.0
Læger;10.0
Badminton;10.0
Beklager;10.0
Alderdom/-men;10.0
Elbiler;10.0
Landbrug/-et;10.0
DNA;10.0
Kram;10.0
Iltsvind;10.0
Kyiv;10.0
Globalisering;10.0
Ferie/-r;10.0
Erhvervsdrivende;10.0
Helbred/-et;10.0
Hjemløs/-e;12.0
Plejehjem/-mene;12.0
Negativ/-e;12.0
Krone;12.0
Kreativitet;12.0
Juletræ/-et;12.0
Folketinget;12.0
Cykling;12.0
Scrolle/-r;12.0
Skandinavien;12.0
Kong Charles;12.0
Boligmangel;12.0
Nettet;12.0
Island;15.0
Voksnes rækker;15.0
Verdensmålene;15.0
Tørke;15.0
TikTok;15.0
Swipe/-r;15.0
Landmænd/-ene;15.0
Influencer/-e;15.0
Digitalisering;15.0
Den amerikanske præsident;15.0
Blomster;15.0
Begavet;15.0
Told;15.0
Togulykke;15.0
Antisemitisme/-n;15.0
Søens Folk;15.0
Donald Trump;15.0
Helt sikker;15.0
Snap;20.0
Mette Frederiksen;20.0
Luksus;20.0
Krænke/-t;20.0
Instagram;20.0
Ildebrande;20.0
Hjemmearbejde;20.0
Fodboldlandsholdet;20.0
Tour de France;20.0
Vuelta a Espana;20.0
Netanyahu;20.0
Facebook;20.0
Fake News;20.0
De bedste år;20.0
Folkemøde/-t;25.0
Mathias Gidsel;25.0
Skyggeflåde/-r;25.0
Økologi/-sk;25.0
Udkantsdanmark;25.0
MeToo;25.0
Julekalender;25.0
Familier som vores;25.0
Dus;25.0
Stormagt/-er;25.0
Kommunalvalg;25.0
Jernmarker;25.0
Vi er danskerne;25.0
VM i fodbold;25.0
Store Bededag;25.0
Hofleverandør;25.0
Borgmester;25.0
Louvre;25.0
Ulve/-n;30.0
Toldkrig;30.0
Det plejede mor at;30.0
Viktor Axelsen;50.0
Woke;50.0
Deepfake;50.0
Mors dreng;50.0
Youtuber/-e;50.0
Elefantordenen;50.0
Jonas Vingegaard;50.0
Regionsvalg;50.0
Konklavet;50.0
Forræder;50.0
Den sidste viking;50.0
Det er typisk dansk;50.0
Fibernet;50.0
Bandekonflikt/-er;50.0
Six Seven;67.0
Skibidi;67.0
Er du helt væk;75.0
Peter Lund Madsen;100.0
Lev med det;100.0
Jørgen Leth;100.0
Jytte Abildstrøm;100.0
Kom Så De Hviiie;100.0
Slettede SMS'er;100.0
Kandidattest;100.0
Nak og Æd;100.0
Wegovy;100.0
Sønderthon;250.0
Taylor Swift;250.0
Ozzy Osbourne;250.0
VAR ud af fodbold;250.0
Elon Musk;250.0
APHACA;250.0
Brian Riemer;250.0
Fear nothing;250.0
Kongen af Danmark kan fandme blive sur;250.0
